Lagerbestand aller Artikel je Hersteller_Emra
"Niederlassung";"Artikel";;"Packungsgröße"
"NL Stuttgart";"13959";"TWINRIX KIND IMPFD EMRA";"1X1 ST"
"NL Stuttgart";"22958";"INSULATARD PEN 100IE EMRA";"5X3 ML"
"NL Stuttgart";"64997";"TRUSOPT AUGENTROPF EMRA";"6X5 ML"
"NL Stuttgart";"77988";"SALOFALK 4G/60ML KLYS EMRA";"7 ST"
"NL Stuttgart";"79467";"MICARDIS PL 40/12,5 EMRA";"98 ST"
"NL Stuttgart";"82920";"TARGIN 10MG/5MG RTBL EMRA";"50 ST"
"NL Stuttgart";"82937";"TARGIN 10MG/5MG RTBL EMRA";"100 ST"
"NL Stuttgart";"82989";"TARGIN 20MG/10MG RET EMRA";"100 ST"
"NL Stuttgart";"83724";"ADVAGRAF 1MG HARTKPS EMRA";"100 ST"
"NL Stuttgart";"84238";"TARGIN 40MG/20MG RET EMRA";"100 ST"
"NL Stuttgart";"91422";"VIAGRA 100MG FTBL EMRA";"4 ST"
"NL Stuttgart";"91439";"VIAGRA 100MG FTBL EMRA";"12 ST"
"NL Stuttgart";"91600";"TREVILOR RET 150TBL EMRA";"100 ST"
"NL Stuttgart";"96589";"ACTONEL 1XWOECH 35MG EMRA";"12 ST"
"NL Stuttgart";"148866";"LITALIR HARTKAPSELN EMRA";"100 ST"
"NL Stuttgart";"174875";"DIANE 35 DRG EMRA";"3X21 ST"
"NL Stuttgart";"175604";"RIVOTRIL 2MG TBL EMRA";"50 ST"
"NL Stuttgart";"175610";"RIVOTRIL 2MG TBL EMRA";"100 ST"
"NL"" Stuttgart";"190940";"SAB SIMPLEX SUSP EMRA";"4X30 ML"
"NL Stuttgart";"213799";"RIVOTRIL 0,5MG TBL EMRA";"50 ST"
